Delta_Change,Phase_Shift,Frequency
121.5329,210.38817663035857,22.80806391561475
123.3219,334.07298019142974,21.69308441000487
118.7356,144.16980516984881,25.494675439133538
116.1395,191.30024834683624,26.146655505957057
117.155,265.0462639582376,26.532632592787415
122.2934,56.73026260998302,22.213434442070803
119.8487,129.48043444542876,24.836811922810664
117.5374,351.52836843559277,25.298116449777662
118.176,315.53706940232956,31.43789737656526
115.2543,291.1822414434821,24.65389981492781
112.1071,295.20802786726324,24.654693636876146
110.7452,147.02398307651336,27.246299301714757
112.7801,142.4347558386219,29.97796189026716
117.0182,318.0741722359341,26.44959309809355
119.0977,140.71991613459488,30.01185470003516
118.8171,289.82912343459986,30.183557254080153
116.9281,119.17764483916146,27.550996957100462
116.9281,358.1651017672149,31.434873666019698
118.9264,238.1435525489533,25.115019891897084
117.3792,164.81003414091714,25.939095413483507
114.4127,306.5948687596662,23.71187687033264
115.169,9.125126718472503,29.276148076057495
115.6265,159.23559657622414,25.45839397320798
113.471,265.4064506673565,27.627592460538747
113.788,15.976911878556772,31.304043277386494
114.1243,304.24774421484574,30.85329601672352
113.18,42.4295599843631,28.26616592773982
110.8506,330.7336279870543,22.692575047612703
111.4972,342.4860949286996,28.137115098467604
110.371,288.6289128983648,25.724771866134738
113.1428,272.7394195988353,27.293427460989605
112.2781,33.23144756264403,32.37355330462308
112.3178,57.973935100449125,27.63068660285188
112.3178,143.0189420629974,29.157270825084513
124.5174,184.04036729419406,26.104122283063315
123.8768,120.27600254148493,32.023788276946895
124.8787,95.40209199877829,22.388429377276413
124.8835,295.8020036989726,32.15730299407141
123.7082,190.53212299936055,28.100710215860516
120.741,250.5724445674824,25.76354141127127
118.4671,131.3861927951546,23.03687946229489
119.3963,161.61121211623583,24.489039806626966
118.5167,151.40129037489658,25.344945183025835
125.5459,147.4080400803448,25.528313011225904
123.8337,123.6628302653198,23.83356064231257
121.4116,171.27814041695237,22.346998746572723
118.848,169.911072215797,22.80634321406579
121.8221,162.0928680369322,30.00153058747975
126.8885,201.98097485865776,31.956717388477124
124.9751,31.88679296350915,27.36638964457835
122.2611,103.35092613295146,24.208804031348947
114.3473,185.04364750508987,24.271022770848248
116.426,207.64781596066828,30.708854131678653
111.8138,41.85038170945747,27.81250144121195
117.1534,357.5197697422903,30.390249957448795
120.7146,351.1883995068991,29.23324840344683
118.6152,323.6265936561036,23.399657196510816
117.2453,351.91346046305335,28.620580675038127
119.6765,142.62427060493172,31.46933105455342
118.8572,162.91888090722773,25.498302929180046
117.6136,146.74959527713347,26.301216207158316
114.9065,27.396256568265333,26.32168486697152
112.2065,256.5779339741585,24.29254798901256
122.2252,74.66283794416717,26.694227478813847
123.4495,28.50904556561288,23.91144509767401
122.7028,248.65468951829325,29.26149665100665
119.7545,46.42285293182809,31.140353137908633
125.0887,355.23006391395717,25.27833418825009
126.2734,51.933193283938074,28.748875341689043
125.2565,103.79245391503474,23.89375056077092
122.4648,152.84317758018932,30.58252267101104
120.9374,84.92186038966464,29.236216456312157
120.5092,104.39768904258482,27.95931715691603
118.5299,73.81589377022871,21.72185988013794
120.7602,37.776171255549016,27.018402740415674
117.319,190.5894751724464,30.66854575082921